GP_CODE,GP_NAME,SUB_ICB_LOCATION_CODE,SUB_ICB_LOCATION_NAME,ICB_CODE,ICB_NAME,Model_Type,Validation_MAPE,Validation_RMSE,Avg_Monthly_Forecast
E84653,ZAIN MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,7.070334103714475,203.95682071056132,2054.158511668938
E84656,ROUNDWOOD PARK MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,7.3647526241883545,246.20145858943383,3372.5702262655427
E84658,ASPRI MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,7.311707318243175,171.79337775245224,2263.0550497021536
E84663,KENTON BRIDGE MEDICAL CENTRE - DR RAJA,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,8.676534855389585,303.00091391196463,2829.5170555277127
E84665,NEASDEN MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,17.30479856746375,401.8514319813838,2501.3774225756174
E84674,CHICHELE ROAD SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,11.179457905052185,95.93379437934848,943.75285623026
E84676,HEADSTONE LANE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,12.152601578436784,182.2813294080592,1378.7887848348662
E84678,PRESTON MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,7.786794092706577,220.83023921387831,1669.319522492591
E84680,HEADSTONE ROAD SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.035903551084547,120.71631458648326,2121.4511736254435
E84684,THE TUDOR HOUSE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,16.765913749364085,288.5884643723682,1553.2409515107286
E84685,SUDBURY SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,6.230991514275614,293.6772086754958,4232.612928608532
E84693,ST. PETER'S MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,7.730766919275683,450.88538663040066,5009.254733788378
E84699,KINGS EDGE MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,13.15211719209383,211.7413669109441,1384.4787323571056
E84701,PEARL MEDICAL PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,11.335153034217658,327.775495272422,2356.939923373708
E84702,WILLESDEN GREEN SURGERY,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,8.075034172567102,727.9094691159266,7249.720417341173
E84709,WEMBLEY PARK MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,6.518402453809351,752.0536788701866,8152.883002367503
E85001,THORNBURY ROAD CENTRE FOR HEALTH,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.102276403276344,195.45453623297533,3341.525188913716
E85003,NORTH END MEDICAL CENTRE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,5.037635458330631,457.86289445242693,8347.394928951342
E85004,ALBANY PRACTICE,W2U3Z,NHS North West London ICB - W2U3Z,QRV,NHS North West London Integrated Care Board,SARIMA,11.969959738764114,423.79039977552753,3294.973014807725
