SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Month,Forecast_Appointments,GP_Appointments,Required_GP_FTE,Required_Staff_FTE,Total_FTE
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2026-03,103751.23047448388,48003.18341704032,91.4346350800768,88.48896358324374,179.92359866332055
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2026-04,107311.63511669225,49650.496478265595,94.57237424431543,91.52561688639153,186.09799113070696
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2026-05,105535.6242338946,48828.77922471878,93.00719852327387,90.01086509392988,183.01806361720375
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2026-06,110120.3252783317,50950.009441863396,97.04763703212076,93.9211362483624,190.96877328048316
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2026-07,118856.07298008192,54991.828486267266,104.74633997384241,101.37181665684868,206.1181566306911
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2026-08,103412.64185278301,47846.526656093025,91.136241249701,88.20018285188888,179.3364241015899
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2026-09,117072.90084266107,54166.79789351858,103.17485313051158,99.85095706213095,203.02581019264252
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2026-10,139058.27907452008,64338.90032479033,122.55028633293396,118.60218849163452,241.1524748245685
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2026-11,120788.11676847025,55885.73838901842,106.44902550289223,103.01964822135213,209.46867372424435
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2026-12,113424.35325570294,52478.70322493897,99.95943471416946,96.73912703295869,196.69856174712817
02Q,NHS Nottingham and Nottinghamshire ICB - 02Q,E54000060,E40000011,Midlands,2027-01,121662.56978195248,56290.32663538235,107.21966978168066,103.76546531201609,210.98513509369675
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2026-02,106692.28607058186,49363.93866373521,94.02654983568611,90.99737683626452,185.02392667195062
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2026-03,106766.63494640714,49398.338089233774,94.09207255092147,91.06078866217995,185.1528612131014
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2026-04,106718.09347503539,49375.87912520092,94.04929357181128,91.01938785688012,185.06868142869138
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2026-05,106769.19912770441,49399.52447386328,94.09433233116816,91.06297564101767,185.15730797218583
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2026-06,103609.72347476092,47937.711552933935,91.30992676749321,88.36827289178888,179.6781996592821
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2026-07,116110.5555205398,53721.54400306299,102.32675048202475,99.03017701186796,201.35692749389273
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2026-08,100849.0387658821,46660.409550530014,88.87697057243813,86.01369716722554,174.89066773966368
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2026-09,113476.90839685405,52503.01921684237,100.00575088922356,96.78395107938364,196.7897019686072
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2026-10,130002.81720556284,60149.15727274552,114.56982337665814,110.87882529018624,225.44864866684438
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2026-11,112429.72535078535,52018.512964706744,99.08288183753666,95.89081331123589,194.97369514877255
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2026-12,101005.44247234632,46732.77376032465,89.01480716252314,86.1470931936852,175.16190035620832
02T,NHS West Yorkshire ICB - 02T,E54000054,E40000012,North East and Yorkshire,2027-01,117575.16726436441,54399.18441129752,103.61749411675719,100.27933786201095,203.89683197876815
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2026-02,162347.91870722407,75114.45294130038,143.07514845961975,138.46581867606938,281.54096713568913
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2026-03,162180.54167373088,75037.01163865915,142.92764121649364,138.32306354773291,281.25070476422655
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2026-04,162415.43020735634,75145.68887853976,143.13464548293288,138.5233989346295,281.6580444175624
