SUB_ICB_CODE,SUB_ICB_NAME,ICB_CODE,REGION_CODE,REGION_NAME,Month,Appointments
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2024-09,153590
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2024-10,198738
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2024-11,161379
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2024-12,148820
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2025-01,173281
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2025-02,156069
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2025-03,164912
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2025-04,154779
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2025-05,155333
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2025-06,162903
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2025-07,174460
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2025-08,141122
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2025-09,164906
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2025-10,202259
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2025-11,154374
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2025-12,157795
02X,NHS South Yorkshire ICB - 02X,E54000061,E40000012,North East and Yorkshire,2026-01,162685
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2023-08,136587
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2023-09,163065
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2023-10,173885
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2023-11,151337
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2023-12,125578
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2024-01,159672
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2024-02,148073
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2024-03,143007
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2024-04,155518
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2024-05,148553
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2024-06,144898
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2024-07,161416
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2024-08,141984
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2024-09,156035
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2024-10,205899
02Y,NHS Humber and North Yorkshire ICB - 02Y,E54000051,E40000012,North East and Yorkshire,2024-11,159002
