ICB_CODE,Month,Forecast_Appointments,Num_Sub_ICBs
E54000054,2026-10,1633160.2987600255,5
E54000054,2026-11,1395829.1389223062,5
E54000054,2026-12,1287295.9122258036,5
E54000054,2027-01,1459488.9829608712,5
E54000055,2026-02,734809.160822211,1
E54000055,2026-03,737377.1214627497,1
E54000055,2026-04,726544.2885983057,1
E54000055,2026-05,731119.0410006447,1
E54000055,2026-06,731265.3178031265,1
E54000055,2026-07,789118.7846044577,1
E54000055,2026-08,692295.3935240824,1
E54000055,2026-09,778232.2080110331,1
E54000055,2026-10,895123.3657512972,1
E54000055,2026-11,783807.2985768934,1
E54000055,2026-12,713760.9503461173,1
E54000055,2027-01,814557.7579075071,1
E54000058,2026-02,520706.3709900287,1
E54000058,2026-03,527123.6969082083,1
E54000058,2026-04,517883.16828159295,1
E54000058,2026-05,517310.35442788433,1
E54000058,2026-06,512896.2768057763,1
E54000058,2026-07,560839.678206781,1
E54000058,2026-08,490178.86944438104,1
E54000058,2026-09,545555.5299720378,1
E54000058,2026-10,667194.3708392679,1
E54000058,2026-11,546234.3404533153,1
E54000058,2026-12,496076.8609743755,1
E54000058,2027-01,572095.5538438503,1
E54000059,2026-02,401681.7404403417,1
E54000059,2026-03,411042.0603862548,1
E54000059,2026-04,401018.13978563977,1
E54000059,2026-05,402856.91496437584,1
E54000059,2026-06,398866.6450040001,1
E54000059,2026-07,441018.29649133456,1
E54000059,2026-08,385693.4545478253,1
E54000059,2026-09,429002.44584311504,1
E54000059,2026-10,521930.7276122744,1
E54000059,2026-11,430943.6900864702,1
E54000059,2026-12,394359.47608027625,1
E54000059,2027-01,454201.79216842895,1
E54000060,2026-02,614135.7570731275,2
E54000060,2026-03,616156.4970048565,2
E54000060,2026-04,605450.2588862438,2
E54000060,2026-05,606621.7844713646,2
E54000060,2026-06,601755.3529939246,2
E54000060,2026-07,662526.5353741961,2
E54000060,2026-08,578544.0962232149,2
E54000060,2026-09,660508.3977927353,2
E54000060,2026-10,785741.5096003242,2
E54000060,2026-11,659171.7610056449,2
E54000060,2026-12,612130.5123733645,2
E54000060,2027-01,692505.8538810718,2
E54000061,2026-02,757271.6541259879,4
E54000061,2026-03,765542.629204419,4
E54000061,2026-04,756743.64016002,4
E54000061,2026-05,750849.6878826221,4
E54000061,2026-06,741678.0366946498,4
E54000061,2026-07,813882.5175965177,4
E54000061,2026-08,703421.3819913253,4
E54000061,2026-09,785176.804255021,4
E54000061,2026-10,957187.3569879653,4
E54000061,2026-11,786994.2706049841,4
E54000061,2026-12,723003.6261038777,4
E54000061,2027-01,830997.3293910422,4
E54000062,2026-02,623049.4991254539,1
E54000062,2026-03,624528.1069134325,1
E54000062,2026-04,618166.288150578,1
E54000062,2026-05,612756.142750225,1
E54000062,2026-06,620977.4929620082,1
E54000062,2026-07,660734.9009666488,1
E54000062,2026-08,586430.2787346795,1
E54000062,2026-09,658172.9029854987,1
E54000062,2026-10,790633.4238396112,1
E54000062,2026-11,664975.748854348,1
E54000062,2026-12,604715.3556574284,1
E54000062,2027-01,695170.4691511552,1
