GP_CODE,Best_Model,Best_MAPE,Seasonal_Naive,MA_3,MA_6,MA_12,ARIMA,SARIMA,HW_m12_add,HW_m6_add,HW_m12_mul,Simple_ES
E86610,HW_m12_mul,17.198595787635384,47.3847984992318,37.5303224959318,41.18954246898666,44.2078511593358,28.066423041258886,22.432306176250968,18.829323380683505,29.445414183003926,17.198595787635384,20.333878290694916
E86612,Simple_ES,10.151950193090647,21.164949530339072,11.525272066759976,11.739416453066205,13.02538439949383,10.88665332886526,10.230970316951549,12.949641740430295,10.587615381798193,11.335711184807735,10.151950193090647
E86615,HW_m6_add,6.679419313598286,7.7171215224368135,7.78733404063704,7.551924910025279,7.877080414822362,8.318559667669168,7.246929102278147,6.890110208693057,6.679419313598286,6.896038873070219,7.703216580576792
E86618,MA_3,5.854832660428457,15.752935713513663,5.854832660428457,7.824115248560758,11.509176194878025,8.764223684474343,12.577463891102173,7.0093841704219075,12.13826539679985,7.5391532975494915,7.73819888535557
E86619,HW_m12_add,7.577155428219777,11.325824697291555,8.85161866272438,13.227518788292455,10.980128406714913,9.7085674476309,8.744934631597712,7.577155428219777,14.98092988458376,9.406510109937603,9.309674314604033
E86620,SARIMA,5.490427140557003,8.110142971515712,7.029086052060261,6.489530831267422,6.908151261192903,6.974503494807219,5.490427140557003,7.949476278012797,5.721169274906191,7.735316403580341,6.627806171551209
E86625,HW_m6_add,4.962362273930584,6.4893359017975545,9.33891118021647,7.614116961417043,8.72419213337792,6.106237477337183,6.05596225197093,6.1815495240267655,4.962362273930584,5.82256965122851,10.1282001186577
E86626,Seasonal_Naive,14.931330545807445,14.931330545807445,17.914537375472715,17.377510881634546,16.818879873676444,16.758953637725668,16.040857074992257,15.964881719007334,16.240612017878995,15.813587186075981,16.11210041136988
E86629,ARIMA,7.458830818265538,7.73756360528912,8.317233901137797,8.861361614558353,8.015897350984012,7.458830818265538,11.828384446597802,10.211838502893382,9.289502947379118,10.950839059953738,8.335455996901715
E86632,Seasonal_Naive,5.727000509541705,5.727000509541705,9.531425457709284,9.361728107277205,9.567984050889187,10.453879278210094,8.006300555993432,7.111732297216779,8.45804599950295,6.940076791458176,9.227956622349781
E86637,HW_m12_add,4.469990594468038,13.233387174035864,6.356138407651242,6.384331565345098,8.373259628320008,7.579708013766491,6.8081431428401045,4.469990594468038,4.978541368418029,5.433719306565137,6.3515684689240794
