GP_CODE,Month,Total_Appointments,Type
E83011,2024-01-01,4102.0,Historical
E83011,2024-02-01,3220.0,Historical
E83011,2024-03-01,3255.0,Historical
E83011,2024-04-01,3314.0,Historical
E83011,2024-05-01,3428.0,Historical
E83011,2024-06-01,3354.0,Historical
E83011,2024-07-01,2761.0,Historical
E83011,2024-08-01,3598.0,Historical
E83011,2024-09-01,4082.0,Historical
E83011,2024-10-01,5297.0,Historical
E83011,2024-11-01,3919.0,Historical
E83011,2024-12-01,3619.0,Historical
E83011,2025-01-01,4180.0,Historical
E83011,2025-02-01,3853.0,Historical
E83011,2025-03-01,3794.0,Historical
E83011,2025-04-01,3294.0,Historical
E83011,2025-05-01,3517.0,Historical
E83011,2025-06-01,3835.0,Historical
E83011,2025-07-01,4523.0,Historical
E83011,2025-08-01,3585.0,Historical
E83011,2025-09-01,3993.0,Historical
E83011,2025-10-01,5453.0,Historical
E83011,2025-11-01,4326.0,Historical
E83011,2025-12-01,3832.0,Historical
E83011,2026-01-01,4504.0,Historical
E83011,2026-02-01,3786.389952179613,Forecast
E83011,2026-03-01,4071.1604780210087,Forecast
E83011,2026-04-01,3514.4538595570625,Forecast
E83011,2026-05-01,3697.3455121553857,Forecast
E83011,2026-06-01,3958.585742600029,Forecast
E83011,2026-07-01,4024.0844121837417,Forecast
E83011,2026-08-01,3975.4135400280884,Forecast
E83011,2026-09-01,4529.8798751055965,Forecast
E83011,2026-10-01,5216.536255221297,Forecast
E83011,2026-11-01,4270.3999630888875,Forecast
E83011,2026-12-01,3771.980286856525,Forecast
E83011,2027-01-01,4478.259024712587,Forecast
E83012,2022-10-01,3291.0,Historical
E83012,2022-11-01,3416.0,Historical
E83012,2022-12-01,2870.0,Historical
E83012,2023-01-01,2949.0,Historical
E83012,2023-02-01,2624.0,Historical
E83012,2023-03-01,3135.0,Historical
E83012,2023-04-01,2380.0,Historical
E83012,2023-05-01,2766.0,Historical
E83012,2023-06-01,3054.0,Historical
E83012,2023-07-01,2837.0,Historical
E83012,2023-08-01,2678.0,Historical
E83012,2023-09-01,2888.0,Historical
E83012,2023-10-01,3106.0,Historical
E83012,2023-11-01,2572.0,Historical
E83012,2023-12-01,2531.0,Historical
E83012,2024-01-01,3249.0,Historical
E83012,2024-02-01,3066.0,Historical
E83012,2024-03-01,2849.0,Historical
E83012,2024-04-01,2917.0,Historical
E83012,2024-05-01,3051.0,Historical
E83012,2024-06-01,2885.0,Historical
E83012,2024-07-01,3284.0,Historical
E83012,2024-08-01,2861.0,Historical
E83012,2024-09-01,3382.0,Historical
E83012,2024-10-01,4067.0,Historical
E83012,2024-11-01,3562.0,Historical
E83012,2024-12-01,3368.0,Historical
E83012,2025-01-01,3571.0,Historical
E83012,2025-02-01,3125.0,Historical
E83012,2025-03-01,3662.0,Historical
E83012,2025-04-01,3154.0,Historical
E83012,2025-05-01,3121.0,Historical
E83012,2025-06-01,3445.0,Historical
E83012,2025-07-01,3602.0,Historical
E83012,2025-08-01,2837.0,Historical
E83012,2025-09-01,3416.0,Historical
E83012,2025-10-01,4127.0,Historical
E83012,2025-11-01,3332.0,Historical
E83012,2025-12-01,2973.0,Historical
E83012,2026-01-01,3346.0,Historical
E83012,2026-02-01,3099.0127792233657,Forecast
E83012,2026-03-01,3408.2641762177677,Forecast
E83012,2026-04-01,2980.8598789341486,Forecast
E83012,2026-05-01,3142.565996433294,Forecast
E83012,2026-06-01,3307.6535402992536,Forecast
E83012,2026-07-01,3429.390492624037,Forecast
E83012,2026-08-01,2940.592900525022,Forecast
E83012,2026-09-01,3408.658442959265,Forecast
E83012,2026-10-01,3941.069826032537,Forecast
E83012,2026-11-01,3471.434415442344,Forecast
E83012,2026-12-01,3165.7354501150003,Forecast
E83012,2027-01-01,3515.7484109503166,Forecast
E83016,2022-10-01,7968.0,Historical
E83016,2022-11-01,7941.0,Historical
E83016,2022-12-01,6918.0,Historical
E83016,2023-01-01,8614.0,Historical
E83016,2023-02-01,8153.0,Historical
E83016,2023-03-01,9184.0,Historical
E83016,2023-04-01,7041.0,Historical
E83016,2023-05-01,7589.0,Historical
E83016,2023-06-01,8423.0,Historical
E83016,2023-07-01,8129.0,Historical
E83016,2023-08-01,8833.0,Historical
E83016,2023-09-01,8733.0,Historical
E83016,2023-10-01,9584.0,Historical
E83016,2023-11-01,8064.0,Historical
E83016,2023-12-01,7685.0,Historical
E83016,2024-01-01,10809.0,Historical
E83016,2024-02-01,10637.0,Historical
E83016,2024-03-01,9622.0,Historical
E83016,2024-04-01,9625.0,Historical
E83016,2024-05-01,9576.0,Historical
E83016,2024-06-01,10186.0,Historical
E83016,2024-07-01,11181.0,Historical
E83016,2024-08-01,9393.0,Historical
E83016,2024-09-01,10717.0,Historical
E83016,2024-10-01,12445.0,Historical
E83016,2024-11-01,11349.0,Historical
E83016,2024-12-01,10179.0,Historical
E83016,2025-01-01,12569.0,Historical
E83016,2025-02-01,10821.0,Historical
E83016,2025-03-01,11622.0,Historical
E83016,2025-04-01,10831.0,Historical
E83016,2025-05-01,10963.0,Historical
E83016,2025-06-01,11707.0,Historical
E83016,2025-07-01,12600.0,Historical
E83016,2025-08-01,10175.0,Historical
E83016,2025-09-01,12400.0,Historical
E83016,2025-10-01,13045.0,Historical
E83016,2025-11-01,12077.0,Historical
E83016,2025-12-01,12211.0,Historical
E83016,2026-01-01,13892.0,Historical
E83016,2026-02-01,13205.484672482275,Forecast
E83016,2026-03-01,13502.79260703875,Forecast
E83016,2026-04-01,12278.859826903466,Forecast
E83016,2026-05-01,12483.823879704265,Forecast
E83016,2026-06-01,13387.83666902609,Forecast
E83016,2026-07-01,14119.155180699061,Forecast
E83016,2026-08-01,12348.273343944555,Forecast
E83016,2026-09-01,13954.319324561935,Forecast
E83016,2026-10-01,15254.784679518098,Forecast
E83016,2026-11-01,13900.041318753292,Forecast
E83016,2026-12-01,13095.888390481077,Forecast
E83016,2027-01-01,16044.874577379318,Forecast
E83017,2022-10-01,6395.0,Historical
E83017,2022-11-01,7055.0,Historical
E83017,2022-12-01,6033.0,Historical
E83017,2023-01-01,5887.0,Historical
E83017,2023-02-01,5322.0,Historical
E83017,2023-03-01,5588.0,Historical
E83017,2023-04-01,4772.0,Historical
E83017,2023-05-01,5923.0,Historical
E83017,2023-06-01,6565.0,Historical
E83017,2023-07-01,5928.0,Historical
E83017,2023-08-01,6613.0,Historical
