GP_CODE,Month,Total_Appointments,Type,GP_Appointments,Staff_Appointments,GP_FTE_Required,Staff_FTE_Required,Total_FTE_Required
E87034,2026-11-01,6618.282091574732,Forecast,4623.668329301026,1994.6137622737065,8.806987293906715,3.166053590910645,11.97304088481736
E87034,2026-12-01,5962.26287868476,Forecast,4165.359780937135,1796.9030977476255,7.934018630356447,2.852227139281945,10.786245769638391
E87034,2027-01-01,6634.146716159111,Forecast,4634.7516831430175,1999.3950330160933,8.828098444081938,3.1736429095493546,12.001741353631292
E87037,2026-02-01,2096.430022625696,Forecast,1235.3332181150743,861.0968045106218,2.3530156535525224,1.3668203246200346,3.719835978172557
E87037,2026-03-01,2356.2498155606118,Forecast,1388.433496909158,967.8163186514537,2.64463523220792,1.5362163788118313,4.180851611019751
E87037,2026-04-01,2006.7587723497359,Forecast,1182.493927997933,824.2648443518029,2.2523693866627297,1.3083568957965126,3.5607262824592425
E87037,2026-05-01,2147.5259639809733,Forecast,1265.441789823076,882.0841741578972,2.4103653139487164,1.4001336097744401,3.8104989237231566
E87037,2026-06-01,2090.929203574709,Forecast,1232.0918294556932,858.8373741190156,2.346841579915606,1.3632339271730407,3.710075507088647
E87037,2026-07-01,2166.0100913299993,Forecast,1276.3336661441003,889.676425185899,2.4311117450363815,1.4121848018823793,3.8432965469187605
E87037,2026-08-01,1801.6603477414972,Forecast,1061.6385242080664,740.0218235334307,2.022168617539174,1.1746378151324297,3.196806432671604
E87037,2026-09-01,2067.586858190174,Forecast,1218.337220748976,849.2496374411982,2.320642325236145,1.3480152975257114,3.6686576227618564
E87037,2026-10-01,2395.594267602699,Forecast,1411.6174372418059,983.976830360893,2.6887951185558205,1.5618679846998302,4.2506631032556506
E87037,2026-11-01,2261.983196475779,Forecast,1332.8863597960174,929.0968366797617,2.5388311615162236,1.4747568836186695,4.0135880451348935
E87037,2026-12-01,1880.5152050920924,Forecast,1108.1041937718476,772.4110113202447,2.1106746548035193,1.2260492243178487,3.336723879121368
E87037,2027-01-01,2033.9000170222453,Forecast,1198.4870595420741,835.4129574801711,2.2828324943658553,1.326052313460589,3.6088848078264446
E87038,2026-02-01,2507.0198136324125,Forecast,1155.986025209747,1351.0337884226656,2.201878143256661,2.1444980768613737,4.346376220118035
E87038,2026-03-01,2756.205365193487,Forecast,1270.885402439408,1485.3199627540791,2.4207340998845863,2.357650734530284,4.7783848344148705
E87038,2026-04-01,2479.6785949104496,Forecast,1143.3789981001373,1336.2995968103123,2.177864758285976,2.12111047112748,4.298975229413456
E87038,2026-05-01,2557.726770002015,Forecast,1179.3669863914026,1378.3597836106128,2.2464133074121957,2.187872672397798,4.434285979809994
E87038,2026-06-01,2696.2797036501893,Forecast,1243.2536992838068,1453.0260043663825,2.3681022843501083,2.306390483121242,4.67449276747135
E87038,2026-07-01,2962.3222776801467,Forecast,1365.9258441217307,1596.3964335584162,2.6017635126128202,2.533962592949867,5.1357261055626875
E87038,2026-08-01,2889.916278362566,Forecast,1332.539461254977,1557.3768171075894,2.538170402390432,2.4720266938215705,5.010197096212003
E87038,2026-09-01,2879.55071824968,Forecast,1327.7599048395025,1551.7908134101774,2.5290664854085763,2.463160021285996,4.992226506694572
E87038,2026-10-01,3249.1583837550847,Forecast,1498.185879860254,1750.9725038948309,2.8536873902100077,2.7793214347536996,5.633008824963707
E87038,2026-11-01,2866.227471499645,Forecast,1321.6165600722563,1544.610911427389,2.517364876328107,2.4517633514720463,4.969128227800153
E87038,2026-12-01,2473.6770519672573,Forecast,1140.611688590136,1333.0653633771212,2.17259369255264,2.1159767672652716,4.288570459817912
E87038,2027-01-01,2849.2598240915218,Forecast,1313.7927833402896,1535.4670407512324,2.5024624444576946,2.437249271033702,4.939711715491397
E87043,2026-02-01,2403.6951599497797,Forecast,1380.74413817173,1022.9510217780498,2.629988834612819,1.623731780600079,4.253720615212898
E87043,2026-03-01,2398.3045058752887,Forecast,1377.6476082380339,1020.6568976372549,2.6240906823581596,1.6200903137099285,4.2441809960680885
E87043,2026-04-01,2088.8075347674317,Forecast,1199.8646115588679,888.9429232085638,2.285456402969272,1.4110205130294664,3.6964769159987387
E87043,2026-05-01,2330.0620369737026,Forecast,1338.4473841496347,991.6146528240679,2.549423588856447,1.5739915124191555,4.123415101275603
E87043,2026-06-01,2302.7081142604634,Forecast,1322.7345895026226,979.9735247578407,2.5194944561954715,1.555513531361652,4.0750079875571235
