ICB_CODE,Month,GP_Appointments,Required_GP_FTE,Num_Sub_ICBs
E54000018,2026-10,261870.52391412045,498.800997931658,1
E54000018,2026-11,221322.1373237737,421.56597585480705,1
E54000018,2026-12,200090.17719762452,381.12414704309435,1
E54000018,2027-01,228617.33379824084,435.4615881871254,1
E54000019,2026-02,194698.1648598046,370.85364735200875,1
E54000019,2026-03,194589.94963769248,370.64752311941425,1
E54000019,2026-04,191916.5961182471,365.55542117761354,1
E54000019,2026-05,187549.24344062517,357.23665417261935,1
E54000019,2026-06,184146.3893256142,350.7550272868842,1
E54000019,2026-07,192530.62945006738,366.7250084763188,1
E54000019,2026-08,175268.45865566653,333.8446831536505,1
E54000019,2026-09,196565.68303879106,374.4108248357925,1
E54000019,2026-10,241133.9691077021,459.30279830038495,1
E54000019,2026-11,197611.15825329692,376.402206196756,1
E54000019,2026-12,175638.0519268381,334.54867033683445,1
E54000019,2027-01,202475.9845086056,385.6685419211535,1
E54000027,2026-02,576576.6314321897,1098.2412027279804,1
E54000027,2026-03,584730.6740424157,1113.7727124617443,1
E54000027,2026-04,565780.7905379253,1077.6776962627148,1
E54000027,2026-05,577509.8144773699,1100.0186942426094,1
E54000027,2026-06,576816.9625098173,1098.698976209176,1
E54000027,2026-07,626836.1481957134,1193.9736156108827,1
E54000027,2026-08,543137.3178344776,1034.5472720656717,1
E54000027,2026-09,604609.4462322439,1151.6370404423694,1
E54000027,2026-10,681876.4397327292,1298.8122661575794,1
E54000027,2026-11,605477.37491712,1153.2902379373713,1
E54000027,2026-12,544979.1435439659,1038.055511512316,1
E54000027,2027-01,624630.5301415828,1189.7724383649197,1
E54000028,2026-02,323902.34510737745,616.9568478235761,1
E54000028,2026-03,327979.80631011236,624.7234405906902,1
E54000028,2026-04,315106.4056963168,600.2026775167939,1
E54000028,2026-05,320932.042193613,611.2991279878344,1
E54000028,2026-06,319694.11725195125,608.9411757180023,1
E54000028,2026-07,346281.7192565776,659.5842271553859,1
E54000028,2026-08,300077.1494744112,571.5755228084023,1
E54000028,2026-09,339566.1691859432,646.7927032113204,1
E54000028,2026-10,389277.362963692,741.4806913594133,1
E54000028,2026-11,345062.081988979,657.2611085504362,1
E54000028,2026-12,310584.8633145386,591.5902158372164,1
E54000028,2027-01,359327.82838551403,684.4339588295505,1
E54000029,2026-02,458422.31974101736,873.1853709352712,1
E54000029,2026-03,459576.5726185212,875.3839478448024,1
E54000029,2026-04,445953.58210260805,849.4353944811581,1
E54000029,2026-05,455241.0681999833,867.1258441904444,1
E54000029,2026-06,455641.84715404373,867.889232674369,1
